"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","listing-card--owner-info__firm-name","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-sariyer-resitpasa-kiralik/daire/42227-918","44","33.000","08-03-2026","Kiralık Daire","2 +
                          1","90 m²","36
                        Yaşında","Giriş Katı","Reşitpaşada Kiralık Müstakil Girişli Eşyalı Daire.","İstanbul / Sarıyer / Reşitpaşa Mah.","","","","",""
"https://www.hepsiemlak.com/istanbul-kagithane-merkez-kiralik/residence/43996-28367","39","50.000","08-03-2026","Kiralık Residence","2 +
                          1","85 m²","5
                        Yaşında","2. Kat","Metroya 10 Dakika+ulaşım Kapı Önünde+2+1 Güvenlik Otopark İskanlı","İstanbul / Kağıthane / Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/koyuyesil-gayrimenkul-43996/mehmet-koyuyesil-1612323","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/2/3/2/1/6/1/ce03c04d-2133-4e23-8fd4-d6fb104d4f43.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/9/9/3/4/0/4a9af117-1bb7-4ce4-bcdb-06dbfa06524d.jpg","Koyuyeşil Gayrimenkul","Mehmet
          Koyuyeşil"
"https://www.hepsiemlak.com/istanbul-maltepe-idealtepe-kiralik/daire/1899-2420","38","110.000","08-03-2026","Kiralık Daire","2 +
                          0","130 m²","4
                        Yaşında","3. Kat","İdealtepe Sahilde Marmaraya 150 Mt. Sıfır Lüks 3+1 Daire 130 M2.","İstanbul / Maltepe / İdealtepe Mah.","","","","",""
"https://www.hepsiemlak.com/istanbul-sisli-kustepe-kiralik/daire/144871-578","18","38.000","08-03-2026","Kiralık Daire","1 +
                          1","75 m²","Sıfır Bina","Giriş Katı","M.Köy Trump Awm Nin Arkasında Sıfır Daire Sıfır Eşyalı H.Dahil 1+1 Kiralık Daire","İstanbul / Şişli / Kuştepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/0/0/3/2/6/4/1772721002899-46230065.jpg","","",""
"https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/daire/145933-290","29","100.000","08-03-2026","Kiralık Daire","3 +
                          0","150 m²","25
                        Yaşında","3. Kat","Florya'da Adakale Bölgesinde Havuzlu-Asansörlü 3+1 Kiralık Daire","İstanbul / Bakırköy / Şenlikköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/eksinar-gayrimenkul-145933/deniz-yuceler-4504930","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/2/0/3/2/6/4/3bbe8b42-a714-474f-b7f6-455de02d7ba3.jpg","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Ekşinar Gayrimenkul","Deniz
          Yüceler"
"https://www.hepsiemlak.com/istanbul-tuzla-tepeoren-kiralik/villa/73262-464","60","190.000","08-03-2026","Kiralık Villa","5 +
                          1","331 m²","Sıfır Bina","Bahçe Katı","Tepeörende Özel Tasarımlı, Hazır Eşyalı Kiralık Villa","İstanbul / Tuzla / Tepeören Mah.","https://www.hepsiemlak.com/emlak-ofisi/gulcin-elcin-real-estate-73262","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/3/6/2/2/6/4/9ffdaa00-e9b3-4d29-8924-8aa062b5afb0.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/6/2/3/7/0/36ba6969-d31a-4199-814f-6387da495b9a.jpg","Gülçin Elçin Real Estate",""
"https://www.hepsiemlak.com/istanbul-kagithane-harmantepe-kiralik/daire/64057-1031","35","20.000","08-03-2026","Kiralık Daire","1 +
                          1","70 m²","8
                        Yaşında","Kot 2","Ege Emlaktan İstanbul Kağıthane Gültepe Harmantepe Mh Kiralık 1+1 Daıre","İstanbul / Kağıthane / Harmantepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/6/4/9/8/1/6/4/1772044474369-46189460.jpg","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-erenkoy-kiralik/daire/117718-286","36","65.000","08-03-2026","Kiralık Daire","3 +
                          1","130 m²","28
                        Yaşında","4. Kat","Erenköy Minibüs Yolunda Kiralık Masrafsız Daire 3+1 110m2 Net","İstanbul / Kadıköy / Erenköy Mah.","https://www.hepsiemlak.com/emlak-ofisi/nurkap-gayrimenkul-117718/nurhan-caymaz-2593067","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/2/2/7/7/1/6/4/d0a30543-2c51-4658-a41d-0a5b2efeeb5b.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/6/0/3/9/5/2/a2849985-3cd1-4f81-9cae-9771d098e452.jpg","Nurkap Gayrimenkul","Nurhan
          Caymaz"
"https://www.hepsiemlak.com/istanbul-beyoglu-firuzaga-kiralik/daire/66277-4243","35","56.500","08-03-2026","Kiralık Daire","1 +
                          1","70 m²","9
                        Yaşında","2. Kat","Cihangir Kiralık Eşyalı Lüks Dubleks For Rent Furnıshed Duplex","İstanbul / Beyoğlu / Firuzağa Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/7/9/6/1/6/4/7911372e-7c58-4d76-84b6-08a283e5e0bc.jpg","","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-1-kisim-kiralik/daire/164129-75","32","38.000","08-03-2026","Kiralık Daire","2 +
                          1","95 m²","6
                        Yaşında","7. Kat","Vaditepe 4. Bölge A Kapısı Gölet Cephe Temiz Eşyalı 2+1 Daire","İstanbul / Başakşehir / Bahçeşehir 1. Kısım Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/9/8/9/4/1/6/4/e6599fe6-2ee3-4de1-a91e-26a1abcedf1d.jpg","","",""
